Sayfa URL	Internal Link Sayısı	Dofollow	Nofollow	Tür
/yatak	1330	1330	0	Ana Kategori
/tumu-c-0	1309	1309	0	Tüm Urunler
/	1278	1278	0	Anasayfa
/yastik-yorgan/yastik/	1277	1277	0	Kategori
/iletisim/	1277	1277	0	Sitewide Nav
/address/stores/	1275	1275	0	Sitewide Nav
/ev-tekstili-kozmetik	1239	1239	0	Kategori
/nevresim-takimlari	1239	1239	0	Kategori
/yastik	1238	1238	0	Kategori
/basliklar	1233	1233	0	Kategori
/baza-baslik	1232	1232	0	Kategori
/dekoratif-yastik	1232	1232	0	Kategori
/banyo-tekstili	1231	1231	0	Kategori
/dekoratif-puflar	1230	1230	0	Kategori
/yatak-ortusu	1230	1230	0	Kategori
/bazalar	1230	1230	0	Kategori
/yastik-yorgan	1228	1228	0	Kategori
/kokular	1228	1228	0	Kategori
/alez	1228	1228	0	Kategori
/yatakli-cozumler	1228	1228	0	Kategori
/battaniye	1227	1227	0	Kategori
/cift-kisilik-nevresim-takimi	1227	1227	0	Kategori
/dekoratif-tekstil	1226	1226	0	Kategori
/yorgan	1226	1226	0	Kategori
/el-havlusu	1226	1226	0	Kategori
/cift-kisilik-xl-nevresim-takimi	1225	1225	0	Kategori
/yun-yorgan	1225	1225	0	Kategori
/tamamlayici-aksesuarlar	1225	1225	0	Kategori
/hrs-celik-yayli	1225	1225	0	Ürün Tipi
/sert	1225	1225	0	Ürün Tipi

INTERNAL LINK ANALİZİ
Güçlü Yönler	Açıklama
Dengeli Dağılım	Kategoriler arası fark sadece ~100 link (1225-1330). Çok dengeli
Yatak Odaklı	/yatak en cok link alan kategori (1330) - ana urun odagi dogru
Tam Navigasyon	Tüm ürün kategorileri sitede linklenmiş

Zayıf Yönler	Açıklama
Düşük Toplam	En yüksek 1330 link - Dogtas 6308, Kelebek 4552. Toplam sayfa sayısı az
Blog Eksikliği	Blog sayfaları listede yok - blog'dan kategori sayfalarına link verilmiyor
Tek Seviye	Tüm kategoriler benzer link sayısı alıyor - önemli kategoriler öne çıkarılmalı

OPTİMİZASYON ÖNERİLERİ
1. /yatak sayfasına daha fazla internal link verilmesi önerilir - ana gelir kaynağı
2. Blog yazılarından (uyku taktikleri, yatak seçimi vb) ürün kategorilerine contextual link eklenmesi önerilir
3. Tek/cift kisilik yatak sayfalarını yatak ana sayfasından daha belirgin linklenmesi önerilir
4. Cross-sell linkleri eklenmesi önerilir: yatak > baza > baslik > nevresim > alez
5. Sayfa sayısını artırılması önerilir (ürün sayfaları, karşılaştırma sayfaları, rehber içerikler)
